examen|clause|opa|opb
ENE20|El precio de un bien en Europa es 120 euros. Ese mismo bien en los EEUU tiene un precio de 126 dólares. Si el tipo de cambio nominal observado es 1,20 dólares por euro, entonces, según la paridad del poder adquisitivo, el euro frente al dólar está |(a)* sobrevalorado. |(b) infravalorado.
ENE20|La teoría de los salarios de eficiencia consiste en que  |(a) El mercado de trabajo es más eficiente si los salarios se mantienen bajos. |(b)* Las empresas pagan salarios por encima de los de equilibrio para motivar a los trabajadores y que aumente su productividad.
ENE20|Considere los siguientes datos (en miles de personas): población mayor de 16 años: 10.000, parados: 800, ocupados: 8.000. Entonces |(a)* la tasa de paro es inferior al 10%.|(b) la tasa de actividad es superior al 90%.
ENE20|Si se crea empleo al mismo tiempo que crece la población activa |(a) Indudablemente la tasa de paro bajará. |(b)* Puede ocurrir que la tasa de paro aumente.*
ENE20|En el modelo keynesiano una variable exógena es: |(a) El consumo, C. |(b)* El gasto público, G.
ENE20|En el modelo keynesiano la renta de equilibrio de corto plazo es igual a: |(a)* La demanda agregada.|(b) La renta potencial.
ENE20|En el modelo keynesiano el multiplicador del gasto público es mayor |(a) cuanto menor sea el nivel de impuestos. |(b)* cuanto mayor sea la propensión marginal a consumir, c.
ENE20|En el modelo keynesiano, si la propensión marginal a consumir es de 0,8 y los impuestos disminuyen en 100, entonces: |(a)* El multiplicador de los impuestos (en valor absoluto) es 4.|(b) La renta de equilibrio aumenta en 80.
ENE20|Un aumento del ahorro público:|(a) tiende a disminuir la salida neta de capitales y apreciar la moneda nacional.|(b)* tiende a aumentar la salida neta de capitales y depreciar la moneda nacional.
ENE20|Un aumento del gasto público:|(a) tiende a disminuir el tipo de interés real. |(b)* tiende a perjudicar el saldo de la balanza comercial.
ENE20|Una huida de capitales causa:|(a)* una subida del tipo de interés real y una depreciación de la moneda nacional.|(b) una subida del tipo de cambio real. 
ENE20|Un arancel a las importaciones tiende a: |(a)* apreciar la moneda nacional.|(b) depreciar la moneda nacional.
ENE20|Una bajada del tipo de interés real de EE.UU en relación al tipo de interés de la zona euro:|(a) tenderá a generar una salida neta de capitales hacia EE.UU.|(b)* tenderá a generar una entrada neta de capitales en la zona euro.
ENE20|Un aumento del superávit público de un país:|(a)* tiende a depreciar la moneda nacional en el mercado de divisas.|(b) hace que el tipo de interés real suba y la moneda se deprecie.
ENE20|De acuerdo con la ecuación cuantitativa del dinero, si la velocidad de circulación del dinero es constante y la oferta monetaria crece a una tasa del 2%:|(a) el PIB real crecerá a una tasa del 2%.|(b)* el PIB nominal crecerá a una tasa del 2%.
ENE20|Según la teoría cuantitativa del dinero la tasa de inflación dependerá en el largo plazo, fundamentalmente,|(a)* de la tasa de crecimiento de la oferta monetaria.|(b) del crecimiento de la demanda agregada.
ENE20|El multiplicador monetario aumenta cuando la proporción de efectivo sobre depósitos que mantiene el público:|(a) aumenta.|(b)* disminuye.
ENE21|Según el modelo de largo plazo para una economía cerrada, un aumento del déficit público|(a)* provoca un efecto expulsión sobre la inversión privada.|(b) aumenta el consumo privado.
ENE21|Una reducción del déficit fiscal hace|(a)* aumentar el ahorro nacional.|(b) disminuir el ahorro nacional.
ENE21|Si la velocidad de circulación del dinero es constante, el PIB real ha crecido un 3% y la oferta monetaria ha crecido un 8%, entonces|(a)* la tasa de inflación será del 5%.|(b) no se puede saber la tasa de inflación sin tener datos adicionales.
ENE21|La teoría de los salarios de eficiencia se basa en suponer que el aumento de los salarios por encima del de equilibrio puede incrementar el rendimiento de los trabajadores y de esta manera beneficiar a la empresa.|(a)* Verdadero.|(b) Falso.
ENE21|Si el PIB nominal del año 2016 es 100 y el PIB real (a precios constantes) del año 2016 es 200, entonces el deflactor del PIB para el año 2016 es:|(a) 200.|(b)* 50.
ENE21|En el modelo keynesiano simple, si aumentan las exportaciones netas en 100 millones de euros y disminuye la inversión en 100 millones de euros|(a)* la renta de equilibrio no se ve modificada.|(b) la renta de equilibrio aumenta
ENE21|Señala cuál de los siguientes factores incide de manera negativa en el crecimiento económico de un país:|(a)* La inestabilidad política e institucional del país. |(b) Un acuerdo para reducir los aranceles a nivel mundial.
ENE21|En una economía cerrada y a largo plazo, un aumento de las transferencias para pensiones genera un aumento: |(a)* del tipo de interés real.|(b) de la inversión empresarial
ENE21|Si el ahorro de un país (S) es superior a la inversión (I), habrá |(a)* superávit en la cuenta financiera (SNC>0).|(b) déficit en la cuenta financiera (SNC<0).
ENE21|Las depreciaciones de la moneda |(a)* benefician al sector exportador de una economía.|(b) perjudican al sector exportador de una economía.
ENE21|Una compra de bonos por parte del banco central hará que la oferta monetaria|(a)* aumente. |(b) disminuya.
ENE21|Las fluctuaciones del PIB en torno a su nivel potencial, según los keynesianos |(a) tienen su origen en las variaciones del PIB potencial.|(b)* tienen su origen en variaciones de la demanda agregada.
ENE21|Suponga que los tipos de cambio con respecto al dólar son de 120 yenes por dólar y 1,25 euros por dólar. De acuerdo con la “ley del único precio” si la tonelada de trigo en Europa cuesta 1.000 euros, en Japón debería costar|(a) más de 100.000 yenes. |(b)* menos de 100.000 yenes. 
ENE21|De los dos factores que se mencionan ¿cuál es más determinante para explicar las diferencias observadas en los niveles de vida de los diferentes países? |(a) Sus recursos naturales. |(b)* La productividad de sus trabajadores.
ENE21|El ahorro privado de un país es 100 mill. €, su sector público tiene un saldo presupuestario negativo de 50 mill.€, y la inversión privada es igual a 150 mill.€ Entonces, el país|(a) registrará una salida neta de capitales.|(b)* registrará una entrada neta de capitales.
ENE21|Las rentas del trabajo de un ciudadano español que tiene su domicilio en Badajoz, pero va a trabajar todos los días a un pueblo de Portugal, computan|(a) en el PIB de España.|(b)* en el PNB de España.
ENE21|En el contexto del modelo de una economía abierta, los contingentes o cuotas a la importación|(a)* son irrelevantes para la determinación del tipo de interés real.|(b) son irrelevantes para la determinación del tipo de cambio real.
ENE21|En una economía abierta y a largo plazo, un aumento de la Salida Neta de Capitales modifica tanto el tipo de interés real como el tipo de cambio real.|(a)* Verdadero.|(b) Falso.
ENE21|Si el PIB per cápita en 2000 es de 20.100 euros y en 2015 es de 23.300 euros, la tasa media de crecimiento anual en el período 2000-2015 ha sido:|(a) superior al 1.2%.|(b)* inferior al 1.2%.
ENE21|En una economía abierta y a largo plazo, un aumento del déficit público genera|(a)* una disminución de la salida neta de capitales.|(b) una depreciación de la moneda nacional.
ENE21|El ahorro nacional (S) constituye en una economía cerrada|(a) la demanda de fondos prestables.|(b)* la oferta de fondos prestables.
ENE21|En un país se producen Y=5000 unidades de producto a un precio de P=5 € la unidad. Si la cantidad de dinero que hay en la economía es M=1.000, la velocidad del dinero (el número de veces que el dinero cambiará de manos) será|(a)* v = ENE21|(b) v = 200.
ENE21|Según la Contabilidad Nacional, la variación de existencias se contabiliza en la Formación Bruta de Capital.|(a)* Verdadero.|(b) Falso.
ENE21|Suponga que la propensión marginal a consumir es 0,6. Entonces, en el modelo keynesiano, el multiplicador del gasto público es mayor que el multiplicador de los impuestos netos.|(a)* Verdadero. |(b) Falso.
ENE21|El multiplicador monetario aumenta cuando la proporción de efectivo sobre depósitos que mantiene el público|(a) aumenta.|(b)* disminuye. 
ENE21|¿Cuántas personas están desempleadas en un país cuya tasa de paro es del 10%, si hay 25 millones de personas en edad de trabajar (tienen al menos 16 años) y 5 millones de personas inactivas?|(a)* 2 millones.|(b) 2,5 millones.
ENE21|Carmen es una chica que ha estudiado historia del arte y lleva dos años trabajando en una galería. Sin embargo, acaba de dejar su puesto de trabajo pues quiere encontrar otro en algún museo ¿En qué tipo de desempleo se podría clasificar a Carmen?|(a)* Desempleo friccional. |(b) Desempleo estructural.
ENE21|Un salario mínimo por encima del correspondiente al equilibrio de pleno empleo genera|(a)* desempleo entre los trabajadores no cualificados pero no necesariamente entre los cualificados. |(b) desempleo entre todos los tipos de trabajadores.
ENE21|Según la teoría keynesiana, a corto plazo el PIB viene determinado por|(a)* la demanda agregada.|(b) el producto potencial.
ENE21|Considere el modelo macroeconómico de largo plazo. Si disminuye el fraude fiscal en un país, y por tanto, aumenta la recaudación impositiva, entonces sus exportaciones netas|(a) disminuirán|(b)* aumentarán.
JUL21|Partiendo de un grado de centralización intermedio en las negociaciones salariales entre sindicatos y empresas (a nivel de industria, sector o puesto profesional), un aumento de dicho grado de centralización: |(a) Puede provocar un mayor o menor desempleo. |(b)* Provoca un menor desempleo.
JUL21|Las barreras al comercio son un problema para que se cumpla la PPA porque |(a)* impiden el arbitraje. |(b) siempre aumentan los costes de transporte.
JUL21|El crecimiento económico de un país |(a) depende fundamentalmente de su dotación de recursos naturales.|(b)* se explica en parte por la acumulación de capital humano.
JUL21|Una disminución de los préstamos que el banco central concede a los bancos privados, afectará a la oferta monetaria porque cambia |(a) el multiplicador monetario. |(b)* la base monetaria.
JUL21|Una economía que en el año 2013 tenía un PIB real de 120 y en el año 2017 de 150, en promedio habrá crecido cada año |(a) menos del 5%. |(b)* más del 5%.
JUL21|Cuando el ahorro nacional coincide con el ahorro privado, el gobierno presenta un presupuesto equilibrado: |(a)* verdadero. |(b) falso
JUL21|En el modelo de largo plazo de una economía abierta, un aumento del gasto público tiene como consecuencia: |(a) un aumento de las exportaciones netas. |(b)* una disminución de las exportaciones netas.
JUL21|En el modelo de largo plazo de una economía abierta, si se introducen controles de capitales para hacer más difícil que estos salgan del país: |(a)* La inversión aumentará. |(b) la inversión disminuirá.
JUL21|Si el tipo de cambio del euro pasa de valer 1,5 $/€ a valer 2$/€, las exportaciones netas de España a EEUU se verán   |(a) beneficiadas. |(b)* perjudicadas.
JUL21|En el modelo de largo plazo de una economía abierta, si un país disminuye sus aranceles a la importación: |(a) El tipo de interés real cambia. |(b)* El tipo de interés real no cambia.
JUL21|En el modelo de largo plazo de una economía abierta, si los ciudadanos deciden consumir más: |(a) Habrá más salidas netas de capital. |(b)* Habrá menos salidas netas de capital.
JUL21|En el modelo de largo plazo de una economía abierta, si las empresas esperan tener mayores beneficios futuros: |(a) Se desplaza la curva de ahorro nacional hacia la derecha. |(b)* Se desplaza la curva de demanda de fondos prestables hacia la derecha.
JUL21|Atraer la inversión extranjera: |(a) distorsiona la asignación de recursos llevándolos hacia actividades improductivas. |(b)* es una política que puede elevar la productividad y el nivel de vida. 
JUL21|Mejorar la calidad institucional en España: |(a) es una necesidad democrática, aunque sus efectos no serían económicos. |(b)* incrementaría el PIB per cápita.
JUL21|Según la teoría de los salarios de eficiencia, una disminución del salario: |(a)* reduce la productividad de los trabajadores. |(b) aumenta la eficiencia de la empresa.
JUL21|Si la renta que reciben los factores de producción de una nación que trabajan en el extranjero es menor a la  retribución que esa nación paga a los factores extranjeros que operan en su interior, entonces |(a) su PNB es mayor que su PIB. |(b)* su PIB es mayor que su PNB.
JUL21|A largo plazo la política monetaria es neutral. Esto significa que |(a) es irrelevante para la determinación de las variables nominales. |(b)* es irrelevante para la determinación de las variables reales.
JUL21|Cuando observamos que en un país se ha producido una disminución del PIB en términos nominales, podemos concluir, con toda seguridad, que en este país se ha producido una disminución de los precios de los bienes y servicios producidos: |(a) verdadero. |(b)* falso.
JUL21|La oferta de fondos prestables |(a)* está constituida por el ahorro nacional. |(b) es siempre igual a la inversión.
JUL21|Un país que tiene déficit de cuenta corriente estará en situación de |(a) financiar al resto del mundo. |(b)* necesitar que el resto del mundo lo financie. 
JUL21|En paro friccional se incrementa si: |(a)* Aumenta la heterogeneidad de los trabajadores. |(b) Disminuye la heterogeneidad de los trabajadores.
JUL21|Cuando se dice que la riqueza, o parte de ella, se puede mantener en dinero, ¿a qué función del dinero se está haciendo referencia?: |(a)* Depósito de valor. |(b) Medio de cambio.
JUL21|Suponga que el tipo de cambio entre las monedas de España y Japón es de 140 yenes por euro. Si un móvil en España vale 100€ y en Japón 20.000¥, entonces con lo que vale un móvil en España |(a)* no podré comprar un móvil en Japón. |(b) podré comprar un móvil en Japón y me sobrará dinero.
JUL21|Un sistema adecuado de patentes mejoraría el crecimiento económico: |(a) en las economías desarrolladas, aunque no en las economías en desarrollo. |(b)* porque contribuye a fomentar el gasto en I+D y la adopción de nuevas tecnologías.
JUL21|Una subida del tipo de interés real |(a) hace más atractivo el consumo presente frente al consumo futuro. |(b)* hace más atractivo el consumo futuro  frente al consumo presente.
JUL21|Considere un país que produce únicamente naranjas  y trigo. En el año 2015 (año base) se produjeron 10 toneladas de naranjas y 20 de trigo, siendo los precios de 100 € por tonelada de naranjas  y 50 € la de trigo. Este año 2021, se han producido 12 toneladas de naranjas y 10 de trigo cuyos precios respectivamente han sido de 80 €  y 60 €, entonces |(a) el PIB real de 2021 es 1.560 euros. |(b)* el deflactor del PIB del año 2015 es igual a 100.
JUL21|Si un residente español contrata un depósito en un banco suizo, la operación se contabiliza en la balanza por cuenta  |(a) corriente. |(b)* financiera.
JUL21|Permaneciendo todo lo demás constante, cuando una persona desempleada deja de buscar trabajo: |(a)* disminuye la tasa de paro. |(b) la tasa de paro no cambia.
JUL21|En una economía cerrada, los incentivos a la inversión tienden a elevar el tipo de interés real de equilibrio: |(a)* verdadero. |(b) falso.
JUL21|La velocidad de circulación del dinero es constante y la oferta monetaria actual es 3.000 unidades monetarias. El banco central (BC) estima que el crecimiento real de la economía será un 5,2% y su objetivo de inflación es el 1,8%. Para conseguir dicho objetivo, ¿cuánto deberá el BC aumentar la oferta monetaria al año siguiente? |(a)* Más de 200 u.m. |(b) Menos de 200 u.m.
JUL22|Una venta de bonos por parte del banco central hará que la oferta monetaria|(a) aumente.|(b)* disminuya.
JUL22|Si el Gobierno español reduce su déficit público|(a)* aumentará el ahorro, la inversión y las exportaciones netas españolas.|(b) en España aumentará el tipo de interés real.
JUL22|Considere los siguientes datos (en miles de personas): población mayor de 16 años: 10.000, parados: 800, ocupados: 8.000. Entonces,|(a)* la tasa de paro es inferior al 10%. |(b) la tasa de actividad es superior al 90%.
JUL22|Un país crece al 2,5% anual. Entonces al cabo de 5 años habrá crecido|(a) menos de 12,6%.|(b)* más de 12,6%.
JUL22|Al cierre del ejercicio, una empresa conservera tiene almacenados 2.000 tarros de mermelada listos para ser vendidos. Este producto se computará en el PIB de dicho año|(a)* como formación bruta de capital (FBK). |(b) como gasto en consumo final (GCF).
JUL22|Según el modelo keynesiano, si la propensión marginal al consumo es de 0,8, un aumento de la inversión de 10 millones de euros provocaría un aumento del nivel de renta de|(a)* más de 45 millones de euros. |(b) menos de 45 millones de euros.
JUL22|En los últimos años un país pobre del África subsahariana ha conseguido desarrollarse gracias a haber incrementado el número de tractores que usa en la producción agrícola. Podemos decir que ese país ha crecido fundamentalmente|(a) gracias al haber experimentado un shock tecnológico positivo.|(b)* gracias a la acumulación de capital físico. 
JUL22|De acuerdo con la ecuación cuantitativa del dinero, si la velocidad de circulación del dinero es constante y la oferta monetaria crece a una tasa del 2%,|(a) el PIB real crecerá a una tasa del 2%.|(b)* el PIB nominal crecerá a una tasa del 2%. 
JUL22|Un aumento del coeficiente de reservas|(a) aumenta la base monetaria pero no altera la oferta monetaria.|(b)* reduce el multiplicador monetario y, por lo tanto, la oferta monetaria. *
JUL22|Una mejora de las expectativas de los empresarios|(a)* desplazará la función de demanda de fondos prestables hacia la derecha. |(b) desplazará la función de inversión hacia la izquierda.
JUL22|De acuerdo con el modelo keynesiano de corto plazo, un aumento del gasto público junto con un aumento de los impuestos netos de la misma magnitud|(a) dejará igual el nivel de producción del país.|(b)* aumentará el nivel de producción del país. 
JUL22|En una economía cerrada la renta es Y = 900, el consumo privado es C = 600 y el gasto público es G = 150 (todo en millones de €). Entonces|(a) el ahorro privado es 150.|(b)* la inversión privada es 150. 
JUL22|En una economía cerrada a largo plazo,|(a)* el tipo de interés se ajusta para igualar el ahorro nacional a la inversión. |(b) el tipo de interés se ajusta para igualar el ahorro privado a cero.
JUL22|De acuerdo con la Paridad del Poder Adquisitivo (PPA) el tipo de cambio nominal entre dos países|(a)* debe reflejar la relación entre los precios de estos dos países. |(b) debe ser igual a uno.
JUL22|En la balanza de pagos, el saldo de la cuenta financiera refleja|(a) el comercio de mercancías de ese país con el exterior.|(b)* la variación de la posición acreedora o deudora del país con el exterior.
JUL22|Un país tiene un ahorro privado de 110 u.m., un volumen de déficit comercial de 80 u.m. y un nivel de inversión igual a 250 u.m. En estas condiciones, el país tiene|(a) un déficit público de 60 u.m. |(b)* un superávit público de 60 u.m. 
JUL22|Si el dinero es "neutral", entonces las variaciones en el crecimiento de la oferta monetaria no afectan a los tipos de interés nominales.|(a) Verdadero.|(b)* Falso. 
JUL22|Suponga que el tipo de cambio nominal, medido en dólares por euro, es mayor al que predice la paridad del poder adquisitivo. Entonces, una misma cesta de bienes|(a)* es más cara en Europa que en los Estados Unidos. |(b) es más barata en Europa que en los Estados Unidos.
JUL22|Un aumento de las cuotas a la importación|(a)* apreciará la moneda nacional. |(b) depreciará la moneda nacional.
JUL22|En el modelo a largo plazo de una economía cerrada, un aumento del gasto público provoca una disminución|(a) únicamente de la inversión.|(b)* tanto de la inversión como del consumo. 
JUL22|En el año 2010 el PIB nominal de España fue 782.980 millones de euros y el deflactor de PIB se situó en 110. En 2011 dichas magnitudes fueron 852.600 millones de euros y 120, respectivamente. Por lo tanto,|(a) el PIB real aumentó en 2011.|(b)* el PIB real disminuyó en 2011. 
JUL22|Considere el equilibrio del modelo de largo plazo para una economía abierta. Una huida de capitales debida a una pérdida de confianza en la capacidad del país para pagar su deuda|(a)* incrementa el tipo de interés nacional. |(b) aumenta la inversión privada.
JUL22|Suponga que la población de un país es de 40 millones de personas y que su población con 16 o más años es de 30 millones. De estos, 15 millones están empleados y 5 millones buscan trabajo. En consecuencia, la tasa de actividad en este país es|(a)* superior al 60%. |(b) inferior al 60%.
JUL22|Una bajada del tipo de interés real de EEUU en relación al tipo de interés de la zona euro tenderá a generar|(a) una salida neta de capitales hacia EE.UU.|(b)* una entrada neta de capitales en la zona euro. 
JUL22|Desde el punto de vista de las estadísticas de población activa y empleo, los trabajadores llamados “desanimados”|(a) pertenecen a la población activa, pero están parados. |(b)* no pertenecen a la población activa porque no buscan trabajo. 
JUL22|Si las familias pierden la confianza en los bancos y, como consecuencia de ello, retiran parte de sus depósitos, para que no varíe la oferta monetaria, el banco central ha de|(a)* aumentar la base monetaria. |(b) disminuir la base monetaria.
JUL22|Si se tiene información del PNB se puede obtener el PIB|(a) restando las rentas de los factores extranjeros en territorio nacional y sumando las rentas de los factores nacionales en el extranjero.|(b)* sumando las rentas de los factores extranjeros en territorio nacional y restando las rentas de los factores nacionales en el extranjero. 
JUL22|El desempleo a largo plazo se divide en|(a)* desempleo estructural y friccional. |(b) desempleo estructural y cíclico.
JUL22|De acuerdo con el modelo keynesiano, el nivel de producción de un país a corto plazo viene determinado por|(a) el producto potencial de la economía, de acuerdo con la oferta de sus factores productivos.|(b)* la demanda agregada de la economía. 
JUL22|Las medidas que tienden a mejorar la estabilidad política y la eficacia de las instituciones de un país|(a)* son medidas que también fomentan el crecimiento. |(b) son medidas que mejoran el bienestar de los ciudadanos, pero que no influyen en el crecimiento.
MAY22|La inversión que hacen las empresas en existencias de productos de consumo se computa en|(a) el Gasto en Consumo Final de las Familias.|(b)* la Formación Bruta de Capital.
MAY22|En el año 2016 el PIB nominal de un país fue de 750.000 millones de euros y el deflactor del PIB fue 105. En el 2017 el PIB nominal fue de 850.000 millones de euros y el deflactor 115. Por lo tanto, en 2017 el PIB real|(a)* aumentó.|(b) disminuyó.
MAY22|Los beneficios de las empresas norteamericanas instaladas en España computan en|(a)* el PIB de España, pero no en su PNB.|(b)  el PNB de España, pero no en su PIB.
MAY22|El PIB real per cápita de un país pasó de 823 euros en el año 1850 a 12.183 euros en el 2000. Por lo tanto, la tasa de crecimiento media anual de su PIB real per cápita fue|(a) mayor de un 2%.|(b)* menor de un 2%.
MAY22|A largo plazo, la eliminación de restricciones al comercio exterior puede favorecer|(a)* el crecimiento.|(b) la fuga de capitales.
MAY22|Una consecuencia de los rendimientos decrecientes del capital físico es que, si todo lo demás permanece constante, a medida que en una economía se acumula más capital gracias al ahorro, el crecimiento con el paso del tiempo tiende a |(a)* acelerarse.|(b)  frenarse.
MAY22|Una política monetaria contractiva puede consistir en una operación de mercado abierto en la que el Banco Central|(a)* vende bonos.|(b) compra bonos.
MAY22|Un proceso de inflación no previsto por los agentes económicos beneficia a los|(a)* deudores.|(b) acreedores.
MAY22|La oferta monetaria es 7.000 millones de euros, la velocidad de circulación del dinero es constante y el PIB real crece un 3% al año. Si para el año siguiente el banco central desea que la inflación sea un 2%, tendrá que fijar una oferta monetaria|(a) superior a 7.500 millones de euros.|(b)* inferior a 7.500 millones de euros.
MAY22|Suponga que se produce una pérdida de confianza en los bancos y las familias deciden retirar parte de sus depósitos. Para que no varíe la oferta monetaria, el Banco Central ha de modificar la base monetaria|(a)* aumentándola.|(b)  disminuyéndola.
MAY22|Una subida del tipo de interés real provoca un desplazamiento hacia la derecha de la función de ahorro nacional.|(a) Verdadero.|(b)* Falso.
MAY22|Si el gobierno baja los impuestos, tanto el ahorro privado como el consumo privado aumentan.|(a)* Verdadero.|(b )  Falso.
MAY22|En una economía cerrada la renta es Y = 1.000, el consumo privado es C = 600, los impuestos netos son T = 200 y el gasto público es G = 250 (todo en millones de €). Entonces,|(a) la inversión privada es 100.|(b)* el ahorro privado es 200.
MAY22|Se habla de efecto expulsión cuando un aumento del déficit público reduce el ahorro|(a) privado.|(b)* nacional y, por tanto, la financiación disponible para la inversión privada.
MAY22|Si en una economía abierta las exportaciones netas son negativas, entonces, para financiar la inversión privada de esa economía, el ahorro nacional|(a) es suficiente.|(b)* no es suficiente.
MAY22|Un ordenador se vende por 600 dólares en los EEUU y por 400 euros en la UE. Si el tipo de cambio nominal de 1,50 dólares por euro, entonces el tipo de cambio real será|(a)* un ordenador en la UE por cada ordenador en EEUU.|(b )  0,66 ordenadores en UE por cada ordenador en EEUU.
MAY22|Un país tiene un superávit comercial de 100 u.m., un volumen de déficit público de 20 u.m. y un ahorro privado de 150 u.m. En estas condiciones la inversión privada es|(a)* mayor que 20.|(b) menor que 20.
MAY22|La política del gobierno chino de fomentar la salida neta de capitales hacia el extranjero tenderá a provocar una disminución de|(a) las exportaciones netas de China.|(b)* la inversión privada de las empresas chinas en su país.
MAY22|En nuestro modelo de largo plazo de una economía abierta, un país en el que se produzca una fuga de capitales por una situación de conflicto bélico o social experimentará|(a) caídas en los tipos de interés y apreciación de la moneda.|(b)* subidas en los tipos de interés y depreciación de la moneda.
MAY22|En el modelo de largo plazo de una economía abierta, si un país tiene un "doble déficit" (déficit presupuestario y déficit de cuenta corriente), una subida impositiva|(a) mejorará el déficit presupuestario, pero empeorará el de cuenta corriente.|(b)* mejorará tanto el déficit presupuestario como el de cuenta corriente.
MAY22|En una economía abierta y a largo plazo, un aumento del gasto público genera una|(a)* reducción en el saldo de la balanza por cuenta corriente.|(b) depreciación de la moneda nacional.
MAY22|La demanda de fondos prestables en una economía abierta la integran|(a) el ahorro público y la inversión.|(b)* la inversión privada y la inversión exterior neta.
MAY22|Si la tasa de paro es del 20%, esto significa que|(a) el número de parados es un 20% menor que el número de ocupados.|(b)* por cada 100 personas activas, 20 no trabajan y no encuentran empleo.
MAY22|El comportamiento de los sindicatos a la hora de negociar empleo y salarios es una de las posibles causas que explica el desempleo|(a) friccional.|(b)* estructural.
MAY22|La consideración de que los salarios no son únicamente un coste para la empresa, sino que es posible que las empresas obtengan mayores beneficios si pagan mayores salarios a sus trabajadores y estos se encuentran más motivados, ayuda a explicar el desempleo|(a) cíclico.|(b)* estructural.
MAY22|Un país cuenta con 30 millones de personas en edad de trabajar. Su población inactiva es de 12 millones y su población ocupada es de 15 millones. Entonces, la tasa de actividad es del|(a)* 60%.|(b)  50%
MAY22|Si en el modelo keynesiano de corto plazo la propensión marginal a consumir es 0.75, un incremento de 100 euros en el gasto público generará un incremento en la renta de|(a) más de 500 euros.|(b)* menos de 500 euros.
MAY22|Según el modelo keynesiano de corto plazo, las diferencias entre el PIB efectivo y el potencial se deben a|(a)* shocks en la demanda agregada.|(b) variaciones en la productividad de los factores.
MAY22|En el modelo keynesiano de corto plazo, si el déficit de la balanza por cuenta corriente crece en la misma cantidad que el gasto público, la renta de equilibrio|(a) crece en una proporción mayor.|(b)* no varía.
MAY22|En el modelo keynesiano de corto plazo, el multiplicador del gasto público es mayor cuanto|(a)* mayor es la propensión marginal a consumir.|(b) menor es la propensión marginal a consumir.
ENE23| Los coches producidos en 2018 que no se han llegado a vender se incluyen en el PIB de 2018:|(a)*Verdadero.|(b) Falso.
ENE23| Las prestaciones de desempleo que paga el Gobierno son:|(a)*un componente de la renta disponible de las familias.|(b) un componente del consumo público.
ENE23| Si el salario medio de un trabajador en el año 2005 fue de 20.000 € anuales y en 2006 de 21.000 €. El IPC en 2005 fue de 400 y de 420 en 2006. El poder adquisitivo del trabajador|(a) aumentó.|(b)*permaneció constante. 
ENE23| Si el gobierno de un país poco desarrollado desea fomentar el crecimiento a largo plazo, sería más adecuado que adoptase políticas |(a)*que atraigan inversión extranjera.|(b) que protejan su economía de la inversión extranjera.
ENE23| Considere una economía que a comienzos del 2010 tiene un PIB real de 150. Si esta economía crece al 5% anual durante tres años seguidos, al cabo de los tres años el PIB real habrá crecido|(a) un 15%.|(b)*más de un 15,5%.
ENE23| La inversión en capital humano a través de la educación|(a) solo favorece el bienestar futuro de los que estudian.|(b)*puede generar externalidades positivas que favorezcan el bienestar futuro de toda la sociedad. 
